OMNeT++ Discrete Event Simulation  (C) 1992-2021 Andras Varga, OpenSim Ltd.
Version: 5.7, build: 211004-1d27e5f35e, edition: Academic Public License -- NOT FOR COMMERCIAL USE
See the license for distribution terms and warranty disclaimer

Starting...

$ cd /home/veins/src/veins/examples/veins
$ opp_run -m -n .:../../src/veins --image-path=../../images -l ../../src/veins omnet.ini

Setting up Qtenv...

Loading NED files from .:  1
Loading NED files from ../../src/veins:  43

Loading images from '/home/veins/src/veins/images': *: 0  veins/*: 0  veins/node/*: 45  veins/sign/*: 5 
Loading images from '/home/veins/src/omnetpp-5.7/images': *: 0  abstract/*: 90  background/*: 4  block/*: 320  device/*: 195  logo/*: 1  maps/*: 9  misc/*: 70  msg/*: 55  old/*: 111  status/*: 28 

Meu ID: 16 | Minha Posição: (406.457,526.6,0) |  |  |  | Velocidade: 15.4287 | Aceleração: 1.17876 m/s²
Meu ID: 22 | Minha Posição: (235.538,526.6,0) |  |  |  | Velocidade: 13.5838 | Aceleração: -inf m/s²
Meu ID: 28 | Minha Posição: (101.479,526.6,0) |  |  |  | Velocidade: 14.0467 | Aceleração: inf m/s²
Meu ID: 16 | Minha Posição: (421.256,526.6,0) |  |  |  | Velocidade: 14.7993 | Aceleração: 0.752543 m/s²
Meu ID: 22 | Minha Posição: (249.11,526.6,0) |  |  |  | Velocidade: 13.5725 | Aceleração: -inf m/s²
Meu ID: 28 | Minha Posição: (114.788,526.6,0) |  |  |  | Velocidade: 13.3087 | Aceleração: -inf m/s²
Meu ID: 34 | Minha Posição: (30.1,526.6,0) |  |  |  | Velocidade: 0 | Aceleração: -nan m/s²
Meu ID: 16 | Minha Posição: (435.614,526.6,0) |  |  |  | Velocidade: 14.3579 | Aceleração: inf m/s²
Meu ID: 22 | Minha Posição: (262.645,526.6,0) |  |  |  | Velocidade: 13.5344 | Aceleração: -inf m/s²
Meu ID: 28 | Minha Posição: (128.441,526.6,0) |  |  |  | Velocidade: 13.6536 | Aceleração: inf m/s²
Meu ID: 16 | Minha Posição: (451.026,526.6,0) |  |  |  | Velocidade: 15.4116 | Aceleração: 1.75799 m/s²
Meu ID: 22 | Minha Posição: (276.618,526.6,0) |  |  |  | Velocidade: 13.9735 | Aceleração: -inf m/s²
Meu ID: 28 | Minha Posição: (141.89,526.6,0) |  |  |  | Velocidade: 13.4485 | Aceleração: -inf m/s²
